			LINES				BYTES
File		percentage	translated	total		percentage	translated	total
TOTAL		2040	11736	57505		2049	621349	3031081
main		10000	9	9		10000	132	132
Mikan status		2015	418	2074		1893	18104	95612
Ichigo status		452	112	2477		402	4542	112890
Karin status		651	148	2271		578	6114	105658
prologue		9383	1720	1833		9439	91688	97130
shop		3336	308	923		3164	13283	41981
Karin day		13	5	3728		0	0	187204
Ichigo day		39	11	2795		0	0	135950
Mikan day		3	1	3170		0	0	149386
Hikari day		674	550	8156		655	24864	379325
Yuzu		13	3	2174		0	0	102244
Suika		9272	1427	1539		9440	68355	72403
Miu		9260	238	257		9799	11026	11252
Seiji		4252	452	1063		3328	22342	67132
day misc		3984	1839	4615		4453	105834	237640
Zakuro		2314	1234	5331		2075	63371	305367
TRPG		4	1	2058		0	0	119344
Training misc		183	70	3816		229	5548	242000
training Mikan		4869	1161	2384		4561	73958	162136
training Ichigo		1845	397	2151		1881	25852	137373
training Karin		2782	876	3148		2496	46756	187312
Schedule		7800	234	300		8123	11862	14602
endings		4233	522	1233		4136	27718	67008
title.txt		10000	0	0		10000	0	0
main.txt		10000	5	5		10000	132	132
day/dayevent.txt		10000	4	4		10000	0	0
status/mikan_kenkou.txt		0	0	253		0	0	12462
status/mikan_badend.txt		0	0	34		0	0	1662
status/mikan_qa.txt		2595	116	447		2684	5138	19142
status/mikan_episode.txt		5029	257	511		4640	10996	23696
status/mikan_tachi.txt		542	45	829		509	1970	38650
status/ichigo_atama.txt		26	1	383		0	0	17266
status/ichigo_kenkou.txt		0	0	298		0	0	14266
status/ichigo_badend.txt		0	0	36		0	0	1758
status/ichigo_qa.txt		173	10	578		0	0	26252
status/ichigo_episode.txt		1750	98	560		1733	4542	26206
status/ichigo_tachi.txt		48	3	622		0	0	27142
status/karin_atama.txt		0	0	20		0	0	932
status/karin_kenkou.txt		0	0	368		0	0	16710
status/karin_badend.txt		0	0	36		0	0	1772
status/karin_qa.txt		193	14	724		0	0	33402
status/karin_episode.txt		2102	131	623		2078	6114	29418
status/karin_tachi.txt		60	3	500		0	0	23424
prologue/youzyo.txt		9018	588	652		9163	31718	34614
prologue/youzyo2.txt		9300	465	500		9154	24756	27042
prologue/youzyo3.txt		9455	191	202		9810	8992	9166
prologue/youzyoG.txt		9937	476	479		9967	26222	26308
